group_id,a_zibb_fixed_a,b_zibb_fixed_a,z_zibb_fixed_a,a,b,data_type,k,n,N,B,optimal_n_based_on_N_variation_only,optimal_n_prop_sqrt_N,optimal_n_hybrid_solution,optimal_n_zibb_fixed_a,propagule_pressure_fixed_n,propagule_pressure_optimal_n_based_on_N_variation_only,propagule_pressure_optimal_n_prop_sqrt_N,propagule_pressure_optimal_n_hybrid_solution,propagule_pressure_optimal_n_zibb_fixed_a,optimal_n_greedy,propagule_pressure_optimal_n_greedy
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,374250,2970000,1345.08489265318,1309.62618556314,1026.42659336664,1090.53257709618,24.1040265677447,12.2216414970682,12.5206054695304,15.5338494776039,14.7352696496547,1030,15.4871347680639
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,164235,2970000,887.125394145981,867.559566301973,611.757570481374,670.602049306798,10.5560347582307,7.69787783670157,7.84394279497742,10.3995297134808,9.67929606838729,610,10.4226384238573
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,320025,2970000,1243.56922479782,1211.03975125513,934.347113583876,998.938654830233,20.6059913994429,11.2101931141856,11.4790613776134,14.3934681803887,13.5922580123515,940,14.3197144469427
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,390000,2970000,1373.11443951322,1336.89946372244,1051.86480693841,1115.69329535301,25.1200533801145,12.5015917013593,12.8084643602299,15.8489131738578,15.0528496868544,1050,15.8733990096704
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,162750,2970000,883.017213860693,863.628457121458,608.047059020984,666.746906398493,10.460237944493,7.65785402136905,7.80236641310751,10.353607796034,9.63523067021675,610,10.3280464112711
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,345600,2970000,1292.47895290955,1258.50026828907,978.700350469853,1043.16178387831,22.2558254138148,11.6970056993959,11.9806575652359,14.942758491038,14.1415257566106,980,14.925736750848
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,375000,2970000,1346.43337833541,1310.93777946778,1027.65027518378,1091.74429148544,24.1524087969052,12.2351033165614,12.5344517522012,15.5490051640483,14.7505290335224,1030,15.5182567633376
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,235125,2970000,1064.62704479595,1038.0442087145,772.248876661198,835.533615990179,15.129123058478,9.43816341656675,9.64854223914708,12.3862416939812,11.6068865413343,770,12.4158041170305
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,216288,2970000,1020.54581193331,995.594887863546,732.362082768434,794.858154577993,13.9139549908838,9.00414037806431,9.19909217165036,11.8924154730129,11.1240507408318,730,11.9234750365951
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,81000,2970000,615.449375131271,609.268822535142,366.835762655248,411.220266227454,5.18657496600207,5.08548942074753,5.12546967860775,7.37005910604846,6.82841757937803,370,7.32871642497085
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,40500,2970000,425.144126453189,430.818115980142,195.950502651182,222.743421694052,2.57393459133685,3.3194063597629,3.28883475857274,5.26057585067011,4.92911058878847,200,5.20775446970178
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,335550,2970000,1273.49135478347,1240.06676215106,961.479372222901,1026.0146916049,21.6075035430646,11.5079031337437,11.785878218571,14.7294830627893,13.9279699110642,960,14.748905202234
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,195000,2970000,968.253209426798,945.330676562799,685.070257028438,746.369374510235,12.5406737983931,8.4907621946396,8.66692844631795,11.3069647497445,10.5547260007365,690,11.2426557957691
FP01,0.336405639586153,322.973818067999,0.759507968184644,0.057708751466575,230.692646532951,fresh_produce,0,600,390000,2970000,1373.11443951322,1336.89946372244,1051.86480693841,1115.69329535301,25.1200533801145,12.5015917013593,12.8084643602299,15.8489131738578,15.0528496868544,1050,15.8733990096704
