group_id,a,b,data_type,k,n,N,sd_logN,mean_N,optimal_n,hypergeometric_n,prop_n,optimal_n_no_overdisp,propagule_pressure_optimal_n,propagule_pressure_fixed_n,propagule_pressure_prop_n,propagule_pressure_optimal_n_no_overdisp,propagule_pressure_hypergeometric_n
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,374250,0.937544861514901,211301.347560976,946.084247623393,601.479969327745,1062.70027423844,1753,16.6613203410998,24.1040265677447,15.071977471407,9.56988618787857,24.0585937676922
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,164235,0.937544861514901,211301.347560976,557.916674201524,600.861476596438,466.352917941349,0,11.1556035571969,10.5560347582307,12.7182605749319,41.0738123693498,10.5444130156341
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,320025,0.937544861514901,211301.347560976,859.889556781698,601.397967354873,908.725865766615,1139,15.4384453963035,20.6059913994429,14.7371961217749,12.1213289239268,20.5692871476885
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,390000,0.937544861514901,211301.347560976,969.896707897458,601.499516031449,1107.42313147092,1916,16.9991755361244,25.1200533801145,15.1515895912924,9.17139933904699,25.0720853899315
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,162750,0.937544861514901,211301.347560976,554.443301100943,600.851427003009,462.136191402286,0,11.1063600095128,10.460237944493,12.6844070973668,40.7024261765864,10.4488553742503
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,345600,0.937544861514901,211301.347560976,901.408183409853,601.439847591372,981.347267272689,1441,16.0274704697599,22.2558254138149,14.9081310009771,10.5961628761588,22.2150043232049
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,375000,0.937544861514901,211301.347560976,947.229724076626,601.480937335017,1064.82993410665,1761,16.6775723778233,24.1524087969052,15.0759250969807,9.54821588260046,24.1068552728787
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,235125,0.937544861514901,211301.347560976,708.150999499475,601.193672490395,667.64836868487,0,13.2860223534781,15.1291230584781,13.922802319163,58.8028138541928,15.1060863767515
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,216288,0.937544861514901,211301.347560976,670.81336600758,601.126625053399,614.159831434824,0,12.7564750943051,13.9139549908838,13.6665288048143,54.0918362696254,13.8939511418457
FP01,0.057708751466575,230.692646532951,fresh_produce,0,600,81000,0.937544861514901,211301.347560976,328.647790887156,599.731100321369,230.003265767036,0,7.90701666025552,5.18657496600207,9.71992285237843,20.2574286961813,5.18836865921296
